,experience,salary,Автомобильный бизнес,Административный персонал,"Банки, инвестиции, лизинг",Безопасность,"Бухгалтерия, управленческий учет, финансы предприятия",Высший менеджмент,Добыча сырья,Закупки,Инсталляция и сервис,"Информационные технологии, интернет, телеком","Искусство, развлечения, масс-медиа",Консультирование,"Маркетинг, реклама, PR","Медицина, фармацевтика","Наука, образование","Начало карьеры, студенты",Продажи,"Производство, сельское хозяйство",Рабочий персонал,"Спортивные клубы, фитнес, салоны красоты","Строительство, недвижимость","Транспорт, логистика","Туризм, гостиницы, рестораны","Управление персоналом, тренинги",Юристы,latitude,longitude,активные,грамотная,клиентов,команде,навыки,пк,продажи,работа,речь
0,-0.8143190224328887,74000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3611214663122446,-0.83461648804124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.8143190224328887,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.5248215216814134,0.0,0.500553007318383,0.0,0.0,0.0,0.44561354066560194,0.5248215216814134
2,0.46048548726174143,123500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.46048548726174143,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.8143190224328887,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,-0.8143190224328887,55000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.780948251074124,0.0,0.5189243648849468,0.0,0.34761664613913645,0.0
6,-0.8143190224328887,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.8143190224328887,65000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.8143190224328887,69000.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.4896946762929097,0.0,0.0,0.0,0.8718939866809396,0.0
9,-0.8143190224328887,102000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.8143190224328887,55000.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5031797535270337,-0.529334995936604,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,-0.8143190224328887,70000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.017018957253428172,0.18997684476171134,0.0,0.2063645299371467,0.5424735984319897,0.0,0.7680156079442861,0.0,0.0,0.1752192413117293,0.2063645299371467
